patch,mesh,nearest_patch,nearest_mesh,same_mesh,token_cos,geometry_dist,normal_var,linearity,planarity,surface_var
88,shapenet/04379243/4eb3c0cffaf389fac3bd24f986301745,91,shapenet/04379243/4eb3c0cffaf389fac3bd24f986301745,1,0.9881006479263306,0.4678950309753418,0.03300728276371956,0.4532264769077301,0.5407513380050659,0.08225744962692261
89,shapenet/04379243/4eb3c0cffaf389fac3bd24f986301745,40,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,0,0.9930616617202759,1.6394776105880737,0.15835238993167877,0.33625295758247375,0.6268587112426758,0.07844128459692001
90,shapenet/04379243/4eb3c0cffaf389fac3bd24f986301745,37,shapenet/02691156/b7b657d7db3c3b8cd13ef00338ba8c52,0,0.7223583459854126,2.6657183170318604,0.551182210445404,0.29140299558639526,0.46754205226898193,0.1561432033777237
91,shapenet/04379243/4eb3c0cffaf389fac3bd24f986301745,88,shapenet/04379243/4eb3c0cffaf389fac3bd24f986301745,1,0.9881006479263306,0.4678950309753418,0.02654709480702877,0.3780897855758667,0.6156535148620605,0.0773862898349762
92,shapenet/04379243/eafa1680912b4ee3391e4d6c585a697a,26,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.9593478441238403,0.4916764199733734,0.14739689230918884,0.5651874542236328,0.4192392826080322,0.13169017434120178
93,shapenet/04379243/eafa1680912b4ee3391e4d6c585a697a,79,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,0,0.9562405943870544,2.2030811309814453,0.35432547330856323,0.026278894394636154,0.8838052153587341,0.13501985371112823
94,shapenet/04379243/eafa1680912b4ee3391e4d6c585a697a,35,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,0,0.9382721185684204,2.6537091732025146,0.5178813338279724,0.6706199049949646,0.29900437593460083,0.12618695199489594
95,shapenet/04379243/eafa1680912b4ee3391e4d6c585a697a,62,shapenet/04379243/1c2fb38795e6e3c858df8eeaf3dad1c,0,0.9512666463851929,1.354154348373413,0.20823270082473755,0.2165716290473938,0.7136317491531372,0.1332753598690033
96,shapenet/02691156/5e9129782c45b26992e39b8eae3e6b15,28,shapenet/02691156/f50eba69a3be1a1e536cfc00d8c31ac5,0,0.7704154253005981,1.7435051202774048,0.43728235363960266,0.31699439883232117,0.40512368083000183,0.0969608724117279
97,shapenet/02691156/5e9129782c45b26992e39b8eae3e6b15,19,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,0,0.8923810124397278,1.1614047288894653,0.4949437975883484,0.23835411667823792,0.21895745396614075,0.11690326035022736
